store,title,review,rating,date,bank_name
Apple,بنك صحار,البرنامج بطئ جدا للاسف يا بنك صحار,,2025-06-14T01:15:24-07:00,Sohar International
Apple,Update not happening,I’m unable to update the application,,2025-06-04T23:33:07-07:00,Sohar International
Apple,App not updating..unable to access,I’ve been trying to update the app since yesterday.. it’s not updating. Kindly solve the issue since I need urgent access to the app.,,2025-06-04T12:36:40-07:00,Sohar International
Apple,خطأ في تسجيل الدخول,يوجد خطأ في تسجيل الدخول وكلمة المرور الرجاء مراجعة آخر تحديث للبرنامج ،،،,,2025-05-02T12:31:24-07:00,Sohar International
Apple,Transfer not possible,With the new update Iam not able to transfer and OTP comes late-Please check the system,,2025-04-30T02:41:31-07:00,Sohar International
Apple,When adding beneficiaries no save button,Please fix,,2025-04-07T10:40:38-07:00,Sohar International
Apple,The worst Bank in Oman,To solve any issue they need ages & there is no update at all regarding your issue unless you call or visit any branch which will be full day activity I don’t recommend anyone to open an account on this Bank from real bad experience,,2025-03-06T03:09:21-07:00,Sohar International
Apple,"Smooth, Fast & Convenient Banking","Opening an account with Bank Sohar has never been easier! Their mobile application allows you to open an account effortlessly, without the need to visit a branch. The process is quick, user-friendly, and requires minimal documentation.

One of the best features is the doorstep delivery of debit/credit cards, saving time and adding convenience. Additionally, online shopping is smooth and fast, with secure transactions and seamless payment processing, ensuring a hassle-free experience.

With its innovative digital services, excellent customer support, and commitment to convenience, Bank Sohar is a top choice for modern banking. Highly recommended!",,2025-02-01T04:26:11-07:00,Sohar International
Apple,بنك صحار الدولي,"بنك صحار الدولي 
ممتاز جداً",,2025-01-05T13:47:48-07:00,Sohar International
Apple,Update KYC failure,"I am unable to update my kyc details. The app takes pics of card, verify my face, even pull data from ROP and at the final proceed button it failed and asking me to visit newrest branch. Very disappointed",,2024-12-25T00:29:49-07:00,Sohar International
Apple,Mobile transfer,I can’t make username for phone number transfer I tried many different names but it doesn’t work,,2024-11-21T12:34:30-07:00,Sohar International
Apple,Very easy and user friendly,I have 3 banks app in Oman and this app is best to use because of its simplicity. Big fan of Monthly Planner feature of the app.,,2024-10-30T11:24:42-07:00,Sohar International
Apple,Awesome,It’s good banking application which serve my purpose,,2024-10-29T23:51:12-07:00,Sohar International
Apple,Seamless!,"Easy, convenient and user friendly",,2024-10-29T23:17:18-07:00,Sohar International
Apple,User Friendly,"Sohar International’s App is very user friendly, fast and has all the essential features for banking on the go!",,2024-10-29T23:10:39-07:00,Sohar International
Apple,Excellent App,It is truly a first class practical application that meets all the banking needs of individuals.,,2024-10-29T22:36:13-07:00,Sohar International
